rname,0,1,2,3,4,5,6,7,8,9,10
V51-183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.532567730957062e-06,0.0007812278308410229
V51-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4242062109957782e-06,0.0005106417262396311
V51-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4840838928282485e-06,0.0017998595846192157
V51-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039110041703011245,0.008867719553504289,0.0037826495829556585,0.0005094652085270277
V51-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.557263134314262e-05,0.00013759175063484376
Cr50-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011159048644746658,0.00030106373916625296
Cr50-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2145905921503063e-06
Cr50-102,0.5738940021701089,0.14650079813601985,0.05436609910838523,0.026903615484774164,0.009478857471948418,0.002577016288312828,0.00018685527434446196,4.1766971876802885e-05,1.120875808385988e-05,3.012983420590431e-06,1.1351402477739233e-06
Cr52-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762448087516589,0.19084780442870888,0.07531566308960959
Cr52-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9154702616560418e-05
Cr52-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041243665192783525,0.002889291512730008
Cr52-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0630435684518913e-08,0.00040058912599318406,0.00024395349031983328
Cr52-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888781908648957e-16,2.8409330840483402e-05,0.0001725868983575057
Cr53-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011846075352179438,0.0071636206478390705
Cr53-159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.417300077156667e-08,0.00016650543494250327
Mn55-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3850861360207336,0.2307129323684206,0.04072462752417745
Mn55-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1397319597040644e-18,1.8765958765887768e-05,0.000263347914327762
Mn55-156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7787116714469116e-07,0.013825676300317594
Mn55-102,10.983372206169175,2.806874714716378,1.0500605768726068,0.536883982605791,0.2530720924144072,1.4352137690091822,0.005364620395077611,0.0004892856559202204,0.0003242158978932993,3.951581950144633e-05,2.108482342012143e-06
Fe54-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010961339719320468,0.0027269686533438996,0.0017672029724476077
Fe54-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.276722998586755e-14,5.428034409184445e-06
Fe56-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007149017984467479,0.013533949150470164
Fe56-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.528892816919973e-10,0.0076707905702643716,0.012333248804591903
Fe56-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08345704484146325,0.09432083762326962
Fe56-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01147501126060248,0.04743704004794424,0.01603458663843925,0.006262104934840641
Fe57-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004038998009352621,0.001374411149928135,0.0009703812718224367
Fe57-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3222103984160942e-11,7.18183307279068e-05,0.00021951021906420394,0.00012388688254599353
